Year   Moose  Wolves
 1959  550   20
 1960  547   19
 1961  569   20
 1962  613   19
 1963  627   19
 1964  656   20
 1965  661   23
 1966  675   22
 1967  654   20
 1968  709   23
 1969  711   23
 1970  748   19
 1971  827   17
 1972  928   20
 1973 1043   19
 1974 1116   18
 1975 1237   15
 1976 1421   13
 1977 1630   10
 1978 1897    9
 1979 2250    7
 1980 2179    7
 1981 1998    7
 1982 1915    7
 1983 1830    4
 1984 1680    6
 1985 1501    6
 1986 1521    6
 1987 1929    6
 1988 2363    5
 1989 2203    4
 1990 1972    3
 1991 1912    3
 1992 1935    3
 1993 1966    3
 1994 1790    3
 1995 1858    2
 1996 2417    1
 1997 2364    1
 1998 2130    1
 1999 2033    1
 2000 2009    1
 2001 2020    1
 2002 2035    1
 2003 1771    1
 2004 1861    0
 2005 2416    0
 2006 2419    0
 2007 2195    0
 2008 2083    0
 2009 2058    0
 2010 2010    0
 2011 2025    0
 2012 1766    0
 2013 1851    0
 2014 2426    0
 2015 2342    0
 2016 2081    0
 2017 2050    0
 2018 2031    0
