Year   Moose  Wolves
 1959  638   20
 1960  658   22
 1961  596   24
 1962  606   22
 1963  641   22
 1964  679   22
 1965  671   20
 1966  734   18
 1967  787   16
 1968  827   14
 1969  946   14
 1970 1025   15
 1971 1133   14
 1972 1318   13
 1973 1497   16
 1974 1706   17
 1975 1945   19
 1976 2256   19
 1977 2213   20
 1978 1995   20
 1979 1816   20
 1980 1616   19
 1981 1414   19
 1982 1207   18
 1983 1187   18
 1984 1360   19
 1985 1566   19
 1986 1703   16
 1987 1932   15
 1988 2189   14
 1989 2114   14
 1990 1956   13
 1991 1800   13
 1992 1635   11
 1993 1445   11
 1994 1305    8
 1995 1310    8
 1996 1638    7
 1997 1982    5
 1998 2304    3
 1999 2186    3
 2000 2029    2
 2001 1981    2
 2002 2004    2
 2003 1847    2
 2004 1638    0
 2005 1726    0
 2006 2268    0
 2007 2200    0
 2008 1987    0
 2009 1907    0
 2010 1891    0
 2011 1876    0
 2012 1863    0
 2013 1965    0
 2014 2563    0
 2015 2418    0
 2016 2155    0
 2017 2059    0
 2018 2041    0
