Year   Moose  Wolves
 1959  605   20
 1960  659   19
 1961  635   19
 1962  650   22
 1963  681   24
 1964  717   25
 1965  760   29
 1966  840   28
 1967  875   31
 1968  811   31
 1969  776   30
 1970  784   31
 1971  730   25
 1972  716   24
 1973  714   22
 1974  732   23
 1975  814   18
 1976  891   13
 1977  990   12
 1978 1138   10
 1979 1321    8
 1980 1488    8
 1981 1736    6
 1982 2097    4
 1983 2451    2
 1984 2457    2
 1985 2308    1
 1986 2189    1
 1987 2085    1
 1988 1949    1
 1989 1796    1
 1990 1589    1
 1991 1281    1
 1992 1328    1
 1993 1733    0
 1994 2196    0
 1995 2143    0
 1996 1964    0
 1997 1895    0
 1998 1896    0
 1999 1900    0
 2000 1744    0
 2001 1844    0
 2002 2373    0
 2003 2260    0
 2004 2033    0
 2005 1936    0
 2006 1931    0
 2007 1934    0
 2008 1950    0
 2009 2090    0
 2010 2670    0
 2011 2479    0
 2012 2298    0
 2013 2242    0
 2014 2234    0
 2015 2243    0
 2016 2270    0
 2017 1999    0
 2018 1595    0
