Year   Moose  Wolves
 1959  703   20
 1960  738   21
 1961  746   22
 1962  749   24
 1963  748   24
 1964  809   26
 1965  858   23
 1966  928   19
 1967  981   15
 1968 1078   14
 1969 1240   15
 1970 1389   19
 1971 1592   16
 1972 1780   16
 1973 2015   19
 1974 2280   22
 1975 2245   27
 1976 1989   25
 1977 1805   27
 1978 1617   28
 1979 1404   27
 1980 1119   28
 1981  949   22
 1982 1071   19
 1983 1202   16
 1984 1354   14
 1985 1498   16
 1986 1642   16
 1987 1841   19
 1988 2107   17
 1989 2046   17
 1990 1826   21
 1991 1652   21
 1992 1496   26
 1993 1263   28
 1994 1106   26
 1995 1173   22
 1996 1297   25
 1997 1448   29
 1998 1562   28
 1999 1771   26
 2000 1961   27
 2001 2171   27
 2002 2133   28
 2003 1845   28
 2004 1689   32
 2005 1465   29
 2006 1222   28
 2007  975   22
 2008  873   20
 2009  924   19
 2010 1077   15
 2011 1172   14
 2012 1339   12
 2013 1493    7
 2014 1725    9
 2015 1997    6
 2016 2364    6
 2017 2305    5
 2018 2132    4
