Year   Moose  Wolves
 1959  707   20
 1960  725   25
 1961  731   31
 1962  785   33
 1963  846   35
 1964  882   31
 1965  855   29
 1966  891   29
 1967  916   27
 1968  910   25
 1969  975   22
 1970 1125   24
 1971 1190   16
 1972 1381   13
 1973 1614   11
 1974 1875    9
 1975 2229    7
 1976 2176    6
 1977 2026    6
 1978 1913    4
 1979 1830    2
 1980 1733    2
 1981 1580    1
 1982 1665    1
 1983 2179    1
 1984 2075    1
 1985 1865    1
 1986 1770    0
 1987 1765    0
 1988 1754    0
 1989 1905    0
 1990 2508    0
 1991 2371    0
 1992 2152    0
 1993 2086    0
 1994 2088    0
 1995 2074    0
 1996 2097    0
 1997 1824    0
 1998 1910    0
 1999 2441    0
 2000 2349    0
 2001 2119    0
 2002 2040    0
 2003 2019    0
 2004 1987    0
 2005 1965    0
 2006 1710    0
 2007 1825    0
 2008 2345    0
 2009 2216    0
 2010 1986    0
 2011 1900    0
 2012 1902    0
 2013 1910    0
 2014 1907    0
 2015 2022    0
 2016 2619    0
 2017 2514    0
 2018 2260    0
