Year   Moose  Wolves
 1959  621   20
 1960  673   20
 1961  658   20
 1962  711   23
 1963  779   29
 1964  791   29
 1965  798   25
 1966  819   29
 1967  786   33
 1968  760   30
 1969  748   33
 1970  754   33
 1971  769   37
 1972  777   38
 1973  754   42
 1974  753   38
 1975  774   37
 1976  828   35
 1977  767   31
 1978  741   27
 1979  727   23
 1980  742   24
 1981  773   24
 1982  741   21
 1983  781   17
 1984  839   15
 1985  943   13
 1986 1055   10
 1987 1235    8
 1988 1400    8
 1989 1647    7
 1990 1971    8
 1991 2293    5
 1992 2253    4
 1993 2092    3
 1994 1984    2
 1995 1952    2
 1996 1819    0
 1997 1667    0
 1998 1757    0
 1999 2269    0
 2000 2186    0
 2001 1977    0
 2002 1854    0
 2003 1833    0
 2004 1811    0
 2005 1787    0
 2006 1876    0
 2007 2448    0
 2008 2247    0
 2009 2028    0
 2010 1939    0
 2011 1964    0
 2012 1974    0
 2013 1992    0
 2014 2137    0
 2015 2015    0
 2016 1775    0
 2017 1671    0
 2018 1615    0
