Year   Moose  Wolves
 1959  626   20
 1960  630   22
 1961  609   21
 1962  594   21
 1963  613   21
 1964  652   20
 1965  647   18
 1966  750   20
 1967  758   17
 1968  805   20
 1969  889   20
 1970  943   19
 1971 1070   21
 1972 1202   20
 1973 1411   20
 1974 1638   18
 1975 1904   19
 1976 2180   19
 1977 2171   18
 1978 1976   17
 1979 1870   14
 1980 1747   10
 1981 1566    7
 1982 1401    7
 1983 1429    6
 1984 1814    6
 1985 2183    5
 1986 2006    4
 1987 1816    3
 1988 1759    3
 1989 1760    3
 1990 1788    3
 1991 1881    3
 1992 2410    3
 1993 2224    2
 1994 1973    2
 1995 1899    2
 1996 1906    2
 1997 1896    0
 1998 1906    0
 1999 1996    0
 2000 2581    0
 2001 2438    0
 2002 2195    0
 2003 2120    0
 2004 2128    0
 2005 2110    0
 2006 2112    0
 2007 1832    0
 2008 1425    0
 2009 1239    0
 2010 1153    0
 2011 1075    0
 2012 1127    0
 2013 1475    0
 2014 1826    0
 2015 2132    0
 2016 2066    0
 2017 1955    0
 2018 1918    0
