Year   Moose  Wolves
 1959  621   20
 1960  577   20
 1961  589   19
 1962  597   22
 1963  595   25
 1964  633   22
 1965  656   17
 1966  721   15
 1967  808   17
 1968  910   15
 1969 1011   18
 1970 1145   18
 1971 1231   15
 1972 1418   14
 1973 1631   12
 1974 1909   15
 1975 2250   18
 1976 2184   15
 1977 1983   13
 1978 1867   12
 1979 1719   12
 1980 1518   13
 1981 1368   12
 1982 1340   12
 1983 1639   12
 1984 1934   12
 1985 2247   10
 1986 2059    7
 1987 1863    6
 1988 1829    7
 1989 1855    6
 1990 1733    5
 1991 1808    6
 1992 2343    5
 1993 2091    5
 1994 1880    5
 1995 1801    4
 1996 1793    4
 1997 1766    6
 1998 1833    6
 1999 2354    5
 2000 2096    4
 2001 1828    5
 2002 1772    4
 2003 1754    3
 2004 1761    3
 2005 1906    3
 2006 2482    3
 2007 2220    2
 2008 1982    2
 2009 1905    2
 2010 1881    2
 2011 1857    2
 2012 1824    2
 2013 1911    2
 2014 2464    2
 2015 2207    1
 2016 1999    1
 2017 1888    1
 2018 1884    1
