Year   Moose  Wolves
 1959  750   20
 1960  754   21
 1961  761   22
 1962  809   26
 1963  787   27
 1964  767   30
 1965  806   28
 1966  835   29
 1967  835   30
 1968  865   29
 1969  894   32
 1970  974   32
 1971  950   31
 1972  990   29
 1973 1081   29
 1974 1139   30
 1975 1219   28
 1976 1355   26
 1977 1514   24
 1978 1669   21
 1979 1845   18
 1980 2103   18
 1981 2046   17
 1982 1818   17
 1983 1700   17
 1984 1542   12
 1985 1374   11
 1986 1357    9
 1987 1760    7
 1988 2157    7
 1989 1965    7
 1990 1788    7
 1991 1704    8
 1992 1684    5
 1993 1676    2
 1994 1791    1
 1995 2371    1
 1996 2168    1
 1997 1927    1
 1998 1844    1
 1999 1824    0
 2000 1830    0
 2001 1871    0
 2002 1970    0
 2003 2541    0
 2004 2384    0
 2005 2157    0
 2006 2042    0
 2007 2031    0
 2008 2001    0
 2009 2001    0
 2010 1718    0
 2011 1812    0
 2012 2373    0
 2013 2241    0
 2014 2017    0
 2015 1927    0
 2016 1887    0
 2017 1850    0
 2018 1824    0
