Year   Moose  Wolves
 1959  709   20
 1960  772   21
 1961  825   21
 1962  878   22
 1963  937   24
 1964  963   24
 1965  998   23
 1966 1103   23
 1967 1230   29
 1968 1377   26
 1969 1541   22
 1970 1792   22
 1971 2001   22
 1972 2312   22
 1973 2280   22
 1974 2069   24
 1975 1931   22
 1976 1694   23
 1977 1535   24
 1978 1314   27
 1979 1157   27
 1980 1279   26
 1981 1533   27
 1982 1728   30
 1983 1977   29
 1984 2231   31
 1985 2107   26
 1986 1931   24
 1987 1788   24
 1988 1485   23
 1989 1301   20
 1990 1108   18
 1991 1073   20
 1992 1260   14
 1993 1499   11
 1994 1699    9
 1995 1988   10
 1996 2327   10
 1997 2237    9
 1998 2155    7
 1999 2026    7
 2000 1859    6
 2001 1718    4
 2002 1536    2
 2003 1305    2
 2004 1359    3
 2005 1736    3
 2006 2142    1
 2007 2037    0
 2008 1844    0
 2009 1778    0
 2010 1777    0
 2011 1797    0
 2012 1924    0
 2013 2572    0
 2014 2348    0
 2015 2128    0
 2016 2061    0
 2017 2068    0
 2018 2093    0
