Year   Moose  Wolves
 1959  535   20
 1960  503   21
 1961  493   23
 1962  452   22
 1963  416   22
 1964  416   22
 1965  429   21
 1966  471   21
 1967  456   18
 1968  439   12
 1969  460   11
 1970  482   11
 1971  567    8
 1972  654    6
 1973  758    6
 1974  884    6
 1975 1018    5
 1976 1205    5
 1977 1383    5
 1978 1607    6
 1979 1920    6
 1980 2310    4
 1981 2335    3
 1982 2164    3
 1983 2028    4
 1984 1963    3
 1985 1890    2
 1986 1717    2
 1987 1485    2
 1988 1553    2
 1989 2002    2
 1990 2497    4
 1991 2351    3
 1992 2164    3
 1993 2079    3
 1994 2084    2
 1995 2080    2
 1996 1874    1
 1997 1618    1
 1998 1674    1
 1999 2190    1
 2000 2158    1
 2001 1931    0
 2002 1848    0
 2003 1841    0
 2004 1831    0
 2005 1831    0
 2006 1959    0
 2007 2560    0
 2008 2379    0
 2009 2159    0
 2010 2060    0
 2011 2048    0
 2012 2053    0
 2013 2039    0
 2014 1765    0
 2015 1849    0
 2016 2408    0
 2017 2440    0
 2018 2234    0
