Year   Moose  Wolves
 1959  579   20
 1960  612   20
 1961  576   19
 1962  606   22
 1963  619   23
 1964  574   21
 1965  591   20
 1966  664   16
 1967  726   16
 1968  745   17
 1969  832   12
 1970  930   11
 1971 1041   10
 1972 1175    9
 1973 1360   10
 1974 1574    7
 1975 1837    7
 1976 2194    9
 1977 2161   10
 1978 1953   10
 1979 1860    9
 1980 1768    8
 1981 1638   10
 1982 1444   10
 1983 1434    8
 1984 1839    7
 1985 2236    6
 1986 2050    4
 1987 1851    2
 1988 1810    2
 1989 1853    2
 1990 1874    1
 1991 1980    1
 1992 2675    0
 1993 2492    0
 1994 2217    0
 1995 2132    0
 1996 2127    0
 1997 2149    0
 1998 2149    0
 1999 1850    0
 2000 1417    0
 2001 1266    0
 2002 1176    0
 2003 1089    0
 2004 1152    0
 2005 1480    0
 2006 1798    0
 2007 2160    0
 2008 2100    0
 2009 1949    0
 2010 1914    0
 2011 1922    0
 2012 1842    0
 2013 1983    0
 2014 2635    0
 2015 2431    0
 2016 2201    0
 2017 2142    0
 2018 2163    0
