Year   Moose  Wolves
 1959  506   20
 1960  485   23
 1961  493   25
 1962  488   30
 1963  497   28
 1964  490   27
 1965  452   24
 1966  415   22
 1967  354   21
 1968  346   19
 1969  342   16
 1970  306   14
 1971  314   11
 1972  313    9
 1973  314    7
 1974  327    5
 1975  375    4
 1976  428    4
 1977  473    4
 1978  545    4
 1979  626    6
 1980  712    7
 1981  833    7
 1982  949    6
 1983 1050    4
 1984 1248    3
 1985 1514    2
 1986 1809    2
 1987 2163    2
 1988 2164    2
 1989 2014    1
 1990 1953    0
 1991 1907    0
 1992 1814    0
 1993 1662    0
 1994 1761    0
 1995 2293    0
 1996 2190    0
 1997 1998    0
 1998 1880    0
 1999 1845    0
 2000 1827    0
 2001 1797    0
 2002 1919    0
 2003 2490    0
 2004 2335    0
 2005 2110    0
 2006 2021    0
 2007 2014    0
 2008 2022    0
 2009 2008    0
 2010 1725    0
 2011 1810    0
 2012 2414    0
 2013 2372    0
 2014 2111    0
 2015 2006    0
 2016 1997    0
 2017 1961    0
 2018 1962    0
