Year   Moose  Wolves
 1959  653   20
 1960  664   21
 1961  629   22
 1962  655   24
 1963  642   26
 1964  648   26
 1965  613   27
 1966  564   27
 1967  540   25
 1968  507   24
 1969  473   25
 1970  465   24
 1971  411   23
 1972  392   20
 1973  402   15
 1974  370   16
 1975  350   11
 1976  381   11
 1977  408   10
 1978  436   11
 1979  434   13
 1980  435   14
 1981  468   14
 1982  492   15
 1983  487   15
 1984  508   17
 1985  539   16
 1986  602   16
 1987  595   16
 1988  611   16
 1989  644   15
 1990  693   13
 1991  731   10
 1992  831   10
 1993  923   10
 1994 1063    8
 1995 1206    8
 1996 1369    9
 1997 1602   12
 1998 1844   13
 1999 2156   15
 2000 2129   17
 2001 1914   18
 2002 1802   18
 2003 1635   17
 2004 1455   14
 2005 1251   13
 2006 1227   16
 2007 1495   15
 2008 1776   13
 2009 2013   11
 2010 2347    8
 2011 2225    6
 2012 2092    5
 2013 2049    5
 2014 1923    3
 2015 1790    3
 2016 1594    3
 2017 1646    2
 2018 2124    1
