Year   Moose  Wolves
 1959  738   20
 1960  773   20
 1961  831   19
 1962  878   22
 1963  899   23
 1964  920   25
 1965  935   22
 1966 1057   24
 1967 1167   20
 1968 1270   18
 1969 1418   14
 1970 1615   14
 1971 1912   17
 1972 2188   19
 1973 2114   18
 1974 1912   14
 1975 1771   11
 1976 1622   12
 1977 1447    8
 1978 1260    7
 1979 1284    7
 1980 1630    9
 1981 1943    8
 1982 2278   10
 1983 2100    8
 1984 1963    7
 1985 1930    5
 1986 1934    6
 1987 1745    6
 1988 1830    5
 1989 2397    5
 1990 2179    8
 1991 1904    9
 1992 1829   10
 1993 1804    9
 1994 1762    9
 1995 1719    7
 1996 1734    9
 1997 2216   11
 1998 1986   11
 1999 1751   10
 2000 1661   10
 2001 1619    9
 2002 1585    8
 2003 1623    7
 2004 2137    6
 2005 1913    6
 2006 1690    6
 2007 1664    6
 2008 1641    5
 2009 1624    5
 2010 1687    4
 2011 2176    3
 2012 1981    3
 2013 1725    3
 2014 1650    3
 2015 1659    3
 2016 1653    3
 2017 1741    3
 2018 2284    2
