Year   Moose  Wolves
 1959  624   20
 1960  665   23
 1961  642   24
 1962  672   25
 1963  676   26
 1964  655   27
 1965  602   25
 1966  576   22
 1967  546   18
 1968  565   16
 1969  624   14
 1970  707   16
 1971  765   15
 1972  840   11
 1973  958   10
 1974 1097    9
 1975 1309    8
 1976 1534    9
 1977 1795   10
 1978 2096    9
 1979 2517    9
 1980 2490   10
 1981 2293   10
 1982 2164    9
 1983 2042    7
 1984 1907   11
 1985 1682   11
 1986 1381   11
 1987 1080   12
 1988 1104   13
 1989 1406   11
 1990 1649   11
 1991 1870   13
 1992 2141   14
 1993 2048   13
 1994 1901   11
 1995 1875   10
 1996 1710   10
 1997 1519   12
 1998 1547   10
 1999 1955    8
 2000 2418    7
 2001 2139    7
 2002 1942    5
 2003 1858    5
 2004 1886    5
 2005 1876    4
 2006 1721    4
 2007 1792    3
 2008 2308    2
 2009 2144    1
 2010 1960    1
 2011 1868    1
 2012 1834    1
 2013 1820    0
 2014 1811    0
 2015 1885    0
 2016 2507    0
 2017 2347    0
 2018 2099    0
