Year   Moose  Wolves
 1959  645   20
 1960  693   21
 1961  704   21
 1962  711   25
 1963  723   28
 1964  728   26
 1965  722   24
 1966  797   22
 1967  838   23
 1968  804   22
 1969  818   22
 1970  812   20
 1971  850   18
 1972  901   17
 1973 1040   17
 1974 1064   16
 1975 1208   11
 1976 1391   13
 1977 1551   13
 1978 1749   11
 1979 2042    8
 1980 2391    5
 1981 2377    5
 1982 2207    5
 1983 2086    3
 1984 1998    2
 1985 1900    2
 1986 1730    2
 1987 1520    1
 1988 1588    1
 1989 2094    0
 1990 2618    0
 1991 2433    0
 1992 2240    0
 1993 2194    0
 1994 2180    0
 1995 2226    0
 1996 1995    0
 1997 1708    0
 1998 1428    0
 1999 1260    0
 2000 1145    0
 2001 1225    0
 2002 1607    0
 2003 1951    0
 2004 2266    0
 2005 2228    0
 2006 2053    0
 2007 2014    0
 2008 2033    0
 2009 1921    0
 2010 1738    0
 2011 1818    0
 2012 2354    0
 2013 2275    0
 2014 2048    0
 2015 1961    0
 2016 1895    0
 2017 1871    0
 2018 1877    0
