Year   Moose  Wolves
 1959  612   20
 1960  637   18
 1961  637   18
 1962  675   19
 1963  707   20
 1964  748   22
 1965  759   26
 1966  772   27
 1967  835   27
 1968  850   24
 1969  901   21
 1970 1011   20
 1971 1144   19
 1972 1312   15
 1973 1534   14
 1974 1767   14
 1975 2049   12
 1976 2403   12
 1977 2304   12
 1978 2112    9
 1979 2010    7
 1980 1876    6
 1981 1782    5
 1982 1635    6
 1983 1393    6
 1984 1457    5
 1985 1866    3
 1986 2297    2
 1987 2178    1
 1988 1981    1
 1989 1940    1
 1990 1925    1
 1991 1920    1
 1992 1720    0
 1993 1833    0
 1994 2386    0
 1995 2258    0
 1996 2020    0
 1997 1950    0
 1998 1960    0
 1999 1997    0
 2000 1988    0
 2001 2103    0
 2002 2015    0
 2003 1790    0
 2004 1709    0
 2005 1658    0
 2006 1599    0
 2007 1721    0
 2008 2286    0
 2009 2134    0
 2010 1912    0
 2011 1886    0
 2012 1865    0
 2013 1880    0
 2014 1872    0
 2015 1986    0
 2016 2560    0
 2017 2438    0
 2018 2152    0
