Year   Moose  Wolves
 1959  647   20
 1960  704   20
 1961  730   21
 1962  714   24
 1963  771   25
 1964  774   24
 1965  834   21
 1966  860   21
 1967  928   20
 1968  994   19
 1969 1143   20
 1970 1259   23
 1971 1372   21
 1972 1550   18
 1973 1762   19
 1974 1995   24
 1975 2234   27
 1976 2146   32
 1977 1836   31
 1978 1724   33
 1979 1455   33
 1980 1228   31
 1981  911   28
 1982  654   25
 1983  692   22
 1984  679   21
 1985  762   18
 1986  839   16
 1987  888   15
 1988  958   13
 1989 1076   13
 1990 1228   14
 1991 1407   13
 1992 1652   12
 1993 1920   12
 1994 2231   12
 1995 2210   12
 1996 2021   13
 1997 1934   13
 1998 1811   12
 1999 1650   14
 2000 1434   11
 2001 1435   13
 2002 1794   12
 2003 2109   11
 2004 1891   12
 2005 1695   12
 2006 1619   10
 2007 1581   10
 2008 1571    9
 2009 1602    8
 2010 2049    6
 2011 2456    4
 2012 2282    4
 2013 2100    3
 2014 2073    2
 2015 2085    1
 2016 2120    1
 2017 1912    1
 2018 1669    1
