Year   Moose  Wolves
 1959  657   20
 1960  704   22
 1961  691   25
 1962  637   25
 1963  609   26
 1964  633   29
 1965  672   30
 1966  658   33
 1967  679   29
 1968  709   25
 1969  744   23
 1970  808   21
 1971  833   19
 1972  916   16
 1973 1036   15
 1974 1176   13
 1975 1376   12
 1976 1609   11
 1977 1882    9
 1978 2256    9
 1979 2280    8
 1980 2113    8
 1981 2000    5
 1982 1909    5
 1983 1798    4
 1984 1618    4
 1985 1438    3
 1986 1474    2
 1987 1890    1
 1988 2368    0
 1989 2264    0
 1990 2070    0
 1991 2021    0
 1992 2038    0
 1993 2061    0
 1994 1878    0
 1995 1997    0
 1996 2612    0
 1997 2547    0
 1998 2283    0
 1999 2212    0
 2000 2220    0
 2001 2162    0
 2002 2131    0
 2003 1838    0
 2004 1406    0
 2005 1248    0
 2006 1134    0
 2007  997    0
 2008 1049    0
 2009 1376    0
 2010 1670    0
 2011 1949    0
 2012 2361    0
 2013 2316    0
 2014 2169    0
 2015 2215    0
 2016 2140    0
 2017 1990    0
 2018 1872    0
