Year   Moose  Wolves
 1959  690   20
 1960  778   20
 1961  873   19
 1962  955   19
 1963 1070   18
 1964 1207   16
 1965 1354   14
 1966 1547   14
 1967 1787   13
 1968 2095   15
 1969 2415   10
 1970 2359    9
 1971 2180    7
 1972 2082    9
 1973 1964   14
 1974 1777   15
 1975 1564   15
 1976 1290   13
 1977 1235   14
 1978 1527   13
 1979 1823   10
 1980 2082   10
 1981 2384   12
 1982 2242   12
 1983 2098   11
 1984 2082    9
 1985 1923    8
 1986 1765    7
 1987 1576    6
 1988 1656    7
 1989 2041    7
 1990 2509    6
 1991 2329    6
 1992 2135    5
 1993 2045    4
 1994 2073    4
 1995 2074    3
 1996 1883    2
 1997 1596    0
 1998 1663    0
 1999 2154    0
 2000 2111    0
 2001 1901    0
 2002 1793    0
 2003 1768    0
 2004 1758    0
 2005 1738    0
 2006 1846    0
 2007 2403    0
 2008 2282    0
 2009 2062    0
 2010 1953    0
 2011 1947    0
 2012 1930    0
 2013 1955    0
 2014 2060    0
 2015 2640    0
 2016 2454    0
 2017 2242    0
 2018 2138    0
