Year   Moose  Wolves
 1959  590   20
 1960  607   21
 1961  661   24
 1962  627   24
 1963  609   22
 1964  618   24
 1965  607   22
 1966  589   23
 1967  567   23
 1968  584   24
 1969  606   23
 1970  592   20
 1971  564   18
 1972  605   16
 1973  661   17
 1974  715   18
 1975  785   16
 1976  793   12
 1977  925   12
 1978 1082   10
 1979 1200    8
 1980 1399    6
 1981 1674    6
 1982 2015    6
 1983 2379    5
 1984 2395    4
 1985 2256    4
 1986 2155    4
 1987 2044    3
 1988 1924    2
 1989 1732    2
 1990 1525    1
 1991 1224    1
 1992 1288    0
 1993 1662    0
 1994 2027    0
 1995 2349    0
 1996 2239    0
 1997 2068    0
 1998 2013    0
 1999 2022    0
 2000 1895    0
 2001 1736    0
 2002 1831    0
 2003 2376    0
 2004 2302    0
 2005 2078    0
 2006 1984    0
 2007 1943    0
 2008 1919    0
 2009 1892    0
 2010 2007    0
 2011 2606    0
 2012 2430    0
 2013 2206    0
 2014 2124    0
 2015 2098    0
 2016 2102    0
 2017 2095    0
 2018 1815    0
