Year   Moose  Wolves
 1959  655   20
 1960  679   24
 1961  672   26
 1962  636   31
 1963  604   31
 1964  619   30
 1965  634   33
 1966  581   34
 1967  484   35
 1968  437   31
 1969  404   31
 1970  335   26
 1971  278   19
 1972  243   13
 1973  238   12
 1974  231   10
 1975  210   10
 1976  204    8
 1977  202    6
 1978  207    5
 1979  209    2
 1980  232    1
 1981  273    1
 1982  323    1
 1983  375    1
 1984  432    1
 1985  502    1
 1986  593    0
 1987  728    0
 1988  883    0
 1989 1080    0
 1990 1290    0
 1991 1527    0
 1992 1862    0
 1993 2228    0
 1994 2299    0
 1995 2140    0
 1996 2051    0
 1997 1994    0
 1998 1877    0
 1999 1714    0
 2000 1491    0
 2001 1549    0
 2002 2012    0
 2003 2511    0
 2004 2364    0
 2005 2170    0
 2006 2076    0
 2007 2091    0
 2008 2128    0
 2009 1962    0
 2010 1705    0
 2011 1379    0
 2012 1244    0
 2013 1149    0
 2014 1225    0
 2015 1592    0
 2016 1991    0
 2017 2366    0
 2018 2313    0
