Year   Moose  Wolves
 1959  708   20
 1960  770   22
 1961  855   21
 1962  932   20
 1963 1007   19
 1964 1093   16
 1965 1216   17
 1966 1403   16
 1967 1567   15
 1968 1802   12
 1969 2107   10
 1970 2022    8
 1971 1806    6
 1972 1683    6
 1973 1568    6
 1974 1445    8
 1975 1471    8
 1976 1862    6
 1977 2265    4
 1978 2120    4
 1979 1926    4
 1980 1872    4
 1981 1865    4
 1982 1914    4
 1983 1718    3
 1984 1808    2
 1985 2364    1
 1986 2225    0
 1987 2018    0
 1988 1968    0
 1989 1966    0
 1990 1991    0
 1991 2008    0
 1992 2111    0
 1993 1974    0
 1994 1761    0
 1995 1637    0
 1996 1585    0
 1997 1529    0
 1998 1660    0
 1999 2183    0
 2000 2029    0
 2001 1791    0
 2002 1743    0
 2003 1750    0
 2004 1755    0
 2005 1883    0
 2006 2480    0
 2007 2227    0
 2008 2020    0
 2009 1956    0
 2010 1942    0
 2011 1955    0
 2012 1962    0
 2013 2056    0
 2014 2631    0
 2015 2443    0
 2016 2161    0
 2017 2079    0
 2018 2078    0
