Year   Moose  Wolves
 1959  734   20
 1960  817   21
 1961  820   24
 1962  825   23
 1963  899   24
 1964  908   23
 1965  897   23
 1966  931   26
 1967  899   28
 1968  897   26
 1969  951   24
 1970 1005   22
 1971 1076   17
 1972 1182   15
 1973 1317   19
 1974 1460   24
 1975 1568   18
 1976 1800   13
 1977 2125   10
 1978 2131   10
 1979 1926   12
 1980 1828    9
 1981 1717    8
 1982 1609    8
 1983 1431   12
 1984 1396   10
 1985 1765    9
 1986 2105   11
 1987 1926   12
 1988 1704   14
 1989 1641   12
 1990 1564   10
 1991 1576   11
 1992 1565   13
 1993 1915   12
 1994 2307   12
 1995 2072   12
 1996 1865   13
 1997 1815   14
 1998 1723   15
 1999 1676   15
 2000 1696   12
 2001 2113   12
 2002 1891   13
 2003 1631   13
 2004 1509   17
 2005 1436   19
 2006 1364   21
 2007 1316   18
 2008 1625   14
 2009 1907   12
 2010 2192   12
 2011 1994    9
 2012 1830    8
 2013 1779    5
 2014 1768    5
 2015 1666    4
 2016 1723    2
 2017 2208    2
 2018 2017    1
