Year   Moose  Wolves
 1959  699   20
 1960  772   26
 1961  831   26
 1962  884   29
 1963  957   34
 1964  971   33
 1965 1058   31
 1966 1089   28
 1967 1085   25
 1968 1198   23
 1969 1372   22
 1970 1487   20
 1971 1726   18
 1972 1990   18
 1973 2292   17
 1974 2280   13
 1975 2099    9
 1976 1987    9
 1977 1843    9
 1978 1666    9
 1979 1479   11
 1980 1466   16
 1981 1789   16
 1982 2116   13
 1983 1893   13
 1984 1687   13
 1985 1581   15
 1986 1510   14
 1987 1434   15
 1988 1409   17
 1989 1754   17
 1990 2103   20
 1991 1858   18
 1992 1644   16
 1993 1543   15
 1994 1497   19
 1995 1406   19
 1996 1293   18
 1997 1507   16
 1998 1795   17
 1999 2039   17
 2000 2357   14
 2001 2274   13
 2002 2179   13
 2003 2144   12
 2004 1973   13
 2005 1756   10
 2006 1532   10
 2007 1284    8
 2008  992    8
 2009 1017   10
 2010 1241   11
 2011 1410   11
 2012 1641   12
 2013 1893   14
 2014 2192   13
 2015 2128   12
 2016 2006   10
 2017 1864   10
 2018 1747   10
