Year   Moose  Wolves
 1959  726   20
 1960  777   18
 1961  779   17
 1962  809   17
 1963  904   19
 1964 1013   22
 1965 1061   22
 1966 1157   18
 1967 1257   17
 1968 1439   15
 1969 1634   14
 1970 1863   10
 1971 2194   11
 1972 2171   10
 1973 2014    7
 1974 1966    4
 1975 1880    4
 1976 1806    3
 1977 1647    3
 1978 1750    1
 1979 2358    0
 1980 2222    0
 1981 2035    0
 1982 1936    0
 1983 1909    0
 1984 1913    0
 1985 1925    0
 1986 2045    0
 1987 2633    0
 1988 2442    0
 1989 2246    0
 1990 2155    0
 1991 2145    0
 1992 2109    0
 1993 2089    0
 1994 1809    0
 1995 1424    0
 1996 1246    0
 1997 1158    0
 1998 1212    0
 1999 1607    0
 2000 1985    0
 2001 2386    0
 2002 2305    0
 2003 2180    0
 2004 2141    0
 2005 2219    0
 2006 2070    0
 2007 1876    0
 2008 1645    0
 2009 1363    0
 2010 1217    0
 2011 1302    0
 2012 1717    0
 2013 2098    0
 2014 2482    0
 2015 2451    0
 2016 2304    0
 2017 2280    0
 2018 2322    0
