Year   Moose  Wolves
 1959  487   20
 1960  507   22
 1961  470   23
 1962  493   26
 1963  456   27
 1964  428   28
 1965  402   26
 1966  417   21
 1967  413   19
 1968  447   15
 1969  502   12
 1970  551   10
 1971  632    9
 1972  722    7
 1973  824    5
 1974  988    4
 1975 1164    5
 1976 1394    5
 1977 1656    3
 1978 1969    3
 1979 2420    3
 1980 2460    2
 1981 2337    2
 1982 2273    2
 1983 2226    2
 1984 2142    2
 1985 2014    1
 1986 1821    1
 1987 1532    0
 1988 1380    0
 1989 1282    0
 1990 1365    0
 1991 1788    0
 1992 2189    0
 1993 2133    0
 1994 1953    0
 1995 1876    0
 1996 1890    0
 1997 1935    0
 1998 1813    0
 1999 1925    0
 2000 2517    0
 2001 2475    0
 2002 2240    0
 2003 2154    0
 2004 2141    0
 2005 2185    0
 2006 2182    0
 2007 1945    0
 2008 1564    0
 2009 1384    0
 2010 1285    0
 2011 1203    0
 2012 1272    0
 2013 1729    0
 2014 2146    0
 2015 2087    0
 2016 1916    0
 2017 1876    0
 2018 1884    0
