Year   Moose  Wolves
 1959  722   20
 1960  717   19
 1961  730   19
 1962  728   19
 1963  783   19
 1964  775   18
 1965  765   18
 1966  771   15
 1967  803   13
 1968  881   11
 1969  993   11
 1970 1097   10
 1971 1282    9
 1972 1427    9
 1973 1678    9
 1974 1944    9
 1975 2244   11
 1976 2171    8
 1977 1988    8
 1978 1870    8
 1979 1767    8
 1980 1630    5
 1981 1478    7
 1982 1503    7
 1983 1901    7
 1984 2267    8
 1985 2074    7
 1986 1883    5
 1987 1792    5
 1988 1780    5
 1989 1779    5
 1990 1860    4
 1991 2384    4
 1992 2195    4
 1993 1949    6
 1994 1895    4
 1995 1900    3
 1996 1894    3
 1997 1897    2
 1998 1976    2
 1999 2585    2
 2000 2415    1
 2001 2171    1
 2002 2102    0
 2003 2085    0
 2004 2100    0
 2005 2120    0
 2006 1847    0
 2007 1484    0
 2008 1310    0
 2009 1192    0
 2010 1090    0
 2011 1165    0
 2012 1503    0
 2013 1867    0
 2014 2218    0
 2015 2168    0
 2016 2023    0
 2017 1973    0
 2018 2016    0
