Year   Moose  Wolves
 1959  659   20
 1960  736   20
 1961  796   20
 1962  821   20
 1963  874   20
 1964  934   22
 1965 1001   23
 1966 1053   22
 1967 1139   21
 1968 1215   19
 1969 1322   18
 1970 1494   18
 1971 1695   16
 1972 1966   16
 1973 2276   17
 1974 2211   17
 1975 2013   17
 1976 1906   14
 1977 1749   12
 1978 1590    7
 1979 1443    6
 1980 1469    3
 1981 1857    3
 1982 2268    3
 1983 2088    4
 1984 1909    4
 1985 1862    3
 1986 1860    2
 1987 1867    2
 1988 1944    2
 1989 2591    2
 1990 2389    2
 1991 2161    2
 1992 2061    2
 1993 2035    1
 1994 2046    1
 1995 2067    0
 1996 1793    0
 1997 1913    0
 1998 2490    0
 1999 2438    0
 2000 2215    0
 2001 2154    0
 2002 2129    0
 2003 2107    0
 2004 2109    0
 2005 1820    0
 2006 1440    0
 2007 1300    0
 2008 1205    0
 2009 1146    0
 2010 1222    0
 2011 1621    0
 2012 2013    0
 2013 2396    0
 2014 2376    0
 2015 2218    0
 2016 2190    0
 2017 2237    0
 2018 2088    0
