Year   Moose  Wolves
 1959  742   20
 1960  767   19
 1961  832   18
 1962  915   17
 1963 1028   20
 1964 1147   19
 1965 1267   17
 1966 1443   14
 1967 1637   13
 1968 1887   10
 1969 2237    7
 1970 2198    5
 1971 2002    4
 1972 1927    5
 1973 1853    6
 1974 1741    6
 1975 1579    6
 1976 1603    6
 1977 2053    7
 1978 2492    7
 1979 2217    5
 1980 2042    4
 1981 1960    3
 1982 1983    3
 1983 1997    5
 1984 1787    4
 1985 1853    4
 1986 2369    4
 1987 2258    4
 1988 2004    5
 1989 1915    5
 1990 1880    4
 1991 1836    4
 1992 1857    4
 1993 1933    4
 1994 2469    3
 1995 2253    3
 1996 2009    2
 1997 1953    2
 1998 1953    2
 1999 1913    0
 2000 1900    0
 2001 2009    0
 2002 2636    0
 2003 2444    0
 2004 2193    0
 2005 2133    0
 2006 2133    0
 2007 2109    0
 2008 2130    0
 2009 1821    0
 2010 1394    0
 2011 1252    0
 2012 1171    0
 2013 1103    0
 2014 1183    0
 2015 1513    0
 2016 1891    0
 2017 2260    0
 2018 2193    0
