Year   Moose  Wolves
 1959  595   20
 1960  633   22
 1961  676   24
 1962  644   25
 1963  612   21
 1964  587   18
 1965  622   21
 1966  629   21
 1967  602   21
 1968  584   20
 1969  576   19
 1970  618   19
 1971  674   20
 1972  691   18
 1973  708   17
 1974  758   17
 1975  853   20
 1976  861   19
 1977  935   18
 1978 1059   18
 1979 1161   18
 1980 1233   16
 1981 1350   17
 1982 1525   18
 1983 1710   22
 1984 1864   24
 1985 2077   25
 1986 2305   27
 1987 2181   25
 1988 1930   26
 1989 1760   26
 1990 1589   25
 1991 1373   22
 1992 1122   25
 1993  921   23
 1994 1070   22
 1995 1147   23
 1996 1276   24
 1997 1409   19
 1998 1525   19
 1999 1684   21
 2000 1898   19
 2001 2185   17
 2002 2164   18
 2003 1930   19
 2004 1741   20
 2005 1578   19
 2006 1380   21
 2007 1181   23
 2008 1036   23
 2009 1184   21
 2010 1408   22
 2011 1560   23
 2012 1725   19
 2013 1853   19
 2014 2126   17
 2015 2114   15
 2016 1846   18
 2017 1649   16
 2018 1449   17
