Year   Moose  Wolves
 1959  704   20
 1960  766   20
 1961  808   22
 1962  815   22
 1963  865   22
 1964  962   21
 1965 1090   20
 1966 1227   19
 1967 1344   18
 1968 1569   14
 1969 1871   13
 1970 2144   13
 1971 2123   14
 1972 1925   13
 1973 1803    9
 1974 1692    9
 1975 1530   11
 1976 1285   10
 1977 1267    8
 1978 1575    7
 1979 1925    5
 1980 2247    4
 1981 2093    4
 1982 1915    4
 1983 1906    2
 1984 1971    2
 1985 1850    2
 1986 1976    2
 1987 2556    0
 1988 2364    0
 1989 2114    0
 1990 2042    0
 1991 2028    0
 1992 2033    0
 1993 2000    0
 1994 1694    0
 1995 1755    0
 1996 2277    0
 1997 2196    0
 1998 1930    0
 1999 1856    0
 2000 1791    0
 2001 1747    0
 2002 1758    0
 2003 1862    0
 2004 2450    0
 2005 2314    0
 2006 2078    0
 2007 1967    0
 2008 1983    0
 2009 1955    0
 2010 1996    0
 2011 2132    0
 2012 1970    0
 2013 1757    0
 2014 1638    0
 2015 1584    0
 2016 1609    0
 2017 1743    0
 2018 2348    0
