Year   Moose  Wolves
 1959  659   20
 1960  643   18
 1961  698   17
 1962  721   16
 1963  767   18
 1964  841   22
 1965  896   20
 1966  966   19
 1967 1086   15
 1968 1218   13
 1969 1374   11
 1970 1593   10
 1971 1858   11
 1972 2125   11
 1973 2072    9
 1974 1867    8
 1975 1784    8
 1976 1685    7
 1977 1545    6
 1978 1613    7
 1979 2109    9
 1980 1906    8
 1981 1717    7
 1982 1613    5
 1983 1592    5
 1984 1592    5
 1985 1687    6
 1986 2151    8
 1987 1896    7
 1988 1653    7
 1989 1589    5
 1990 1548    4
 1991 1526    5
 1992 1593    9
 1993 2069    8
 1994 2510    8
 1995 2189    7
 1996 2018    9
 1997 1951    9
 1998 1883    9
 1999 1843    9
 2000 1562    9
 2001 1585    6
 2002 2009    5
 2003 2488    4
 2004 2230    3
 2005 2035    2
 2006 1980    2
 2007 2012    3
 2008 2060    3
 2009 1854    2
 2010 1895    2
 2011 2466    2
 2012 2306    2
 2013 2079    2
 2014 1997    2
 2015 1955    2
 2016 1938    2
 2017 1979    2
 2018 2063    2
