Year   Moose  Wolves
 1959  671   20
 1960  744   20
 1961  753   21
 1962  761   28
 1963  787   29
 1964  736   30
 1965  768   30
 1966  818   28
 1967  836   25
 1968  859   23
 1969  973   21
 1970 1119   18
 1971 1210   15
 1972 1394   12
 1973 1619    9
 1974 1929    9
 1975 2293    7
 1976 2288    4
 1977 2130    3
 1978 2060    3
 1979 1976    3
 1980 1874    3
 1981 1710    3
 1982 1483    3
 1983 1535    1
 1984 1981    1
 1985 2454    1
 1986 2324    0
 1987 2160    0
 1988 2063    0
 1989 2095    0
 1990 2123    0
 1991 1943    0
 1992 1667    0
 1993 1335    0
 1994 1181    0
 1995 1112    0
 1996 1188    0
 1997 1510    0
 1998 1872    0
 1999 2247    0
 2000 2232    0
 2001 2071    0
 2002 2073    0
 2003 2098    0
 2004 1995    0
 2005 1813    0
 2006 1918    0
 2007 2509    0
 2008 2401    0
 2009 2171    0
 2010 2074    0
 2011 2035    0
 2012 2035    0
 2013 2048    0
 2014 1764    0
 2015 1834    0
 2016 2389    0
 2017 2337    0
 2018 2104    0
