Year   Moose  Wolves
 1959  587   20
 1960  712   19
 1961  790   19
 1962  891   20
 1963  969   23
 1964 1073   23
 1965 1190   24
 1966 1330   26
 1967 1518   25
 1968 1745   22
 1969 2078   20
 1970 2460   19
 1971 2384   16
 1972 2201   14
 1973 2140   13
 1974 2024   16
 1975 1915   16
 1976 1734   14
 1977 1513   16
 1978 1212   15
 1979 1253   12
 1980 1567   10
 1981 1895   12
 1982 2188   11
 1983 2072   10
 1984 1898   10
 1985 1838    9
 1986 1852    8
 1987 1748    8
 1988 1849    8
 1989 2426    4
 1990 2325    4
 1991 2093    6
 1992 2011    6
 1993 1984    5
 1994 1988    5
 1995 1978    4
 1996 2093    3
 1997 2747    3
 1998 2543    2
 1999 2322    2
 2000 2245    2
 2001 2242    2
 2002 2280    1
 2003 2327    0
 2004 2081    0
 2005 1674    0
 2006 1497    0
 2007 1419    0
 2008 1345    0
 2009 1443    0
 2010 1919    0
 2011 2422    0
 2012 2367    0
 2013 2167    0
 2014 2127    0
 2015 2137    0
 2016 2184    0
 2017 2042    0
 2018 1803    0
