Year   Moose  Wolves
 1959  760   20
 1960  875   23
 1961  953   23
 1962  977   20
 1963 1053   20
 1964 1075   20
 1965 1175   18
 1966 1328   15
 1967 1529   21
 1968 1695   17
 1969 1906   22
 1970 2210   24
 1971 2055   29
 1972 1823   29
 1973 1626   31
 1974 1375   31
 1975 1168   26
 1976 1005   24
 1977 1200   23
 1978 1393   20
 1979 1504   22
 1980 1743   21
 1981 1931   20
 1982 2097   23
 1983 2414   25
 1984 2348   26
 1985 2078   27
 1986 1862   25
 1987 1632   26
 1988 1385   24
 1989 1194   24
 1990 1080   21
 1991 1255   20
 1992 1404   19
 1993 1551   19
 1994 1709   18
 1995 1870   19
 1996 2089   20
 1997 2403   20
 1998 2343   19
 1999 2022   22
 2000 1824   22
 2001 1598   20
 2002 1389   19
 2003 1157   15
 2004 1108   13
 2005 1365   12
 2006 1624    9
 2007 1841   12
 2008 2098   11
 2009 2387   11
 2010 2350   13
 2011 2215   11
 2012 2048    9
 2013 1893   11
 2014 1684   12
 2015 1438   12
 2016 1211    8
 2017 1219   12
 2018 1513   16
