Year   Moose  Wolves
 1959  523   20
 1960  532   20
 1961  512   19
 1962  525   18
 1963  491   20
 1964  436   20
 1965  408   16
 1966  407   14
 1967  446   15
 1968  433   12
 1969  438   10
 1970  487    9
 1971  555   11
 1972  620    9
 1973  680    8
 1974  759    7
 1975  854    6
 1976 1002    6
 1977 1178    5
 1978 1385    5
 1979 1615    3
 1980 1950    3
 1981 2324    1
 1982 2358    0
 1983 2198    0
 1984 2109    0
 1985 2034    0
 1986 1934    0
 1987 1770    0
 1988 1552    0
 1989 1264    0
 1990 1345    0
 1991 1769    0
 1992 2214    0
 1993 2141    0
 1994 1976    0
 1995 1882    0
 1996 1896    0
 1997 1945    0
 1998 1792    0
 1999 1891    0
 2000 2470    0
 2001 2385    0
 2002 2178    0
 2003 2075    0
 2004 2050    0
 2005 2037    0
 2006 2047    0
 2007 1800    0
 2008 1895    0
 2009 2446    0
 2010 2426    0
 2011 2165    0
 2012 2086    0
 2013 2042    0
 2014 2020    0
 2015 2019    0
 2016 1762    0
 2017 1822    0
 2018 2364    0
