Year   Moose  Wolves
 1959  680   20
 1960  684   22
 1961  693   21
 1962  720   19
 1963  758   21
 1964  788   20
 1965  815   18
 1966  899   15
 1967  962   13
 1968 1073    9
 1969 1238    9
 1970 1463   10
 1971 1661   11
 1972 1971   10
 1973 2299    8
 1974 2335    7
 1975 2153    6
 1976 2051    5
 1977 1927    5
 1978 1824    4
 1979 1667    4
 1980 1452    4
 1981 1502    2
 1982 1987    0
 1983 2431    0
 1984 2223    0
 1985 2033    0
 1986 1999    0
 1987 2027    0
 1988 2052    0
 1989 1887    0
 1990 2016    0
 1991 2633    0
 1992 2507    0
 1993 2277    0
 1994 2209    0
 1995 2162    0
 1996 2133    0
 1997 2098    0
 1998 1781    0
 1999 1372    0
 2000 1223    0
 2001 1125    0
 2002 1206    0
 2003 1554    0
 2004 1929    0
 2005 2328    0
 2006 2278    0
 2007 2146    0
 2008 2126    0
 2009 2150    0
 2010 2048    0
 2011 1832    0
 2012 1604    0
 2013 1340    0
 2014 1188    0
 2015 1282    0
 2016 1662    0
 2017 2030    0
 2018 2442    0
