Year   Moose  Wolves
 1959  694   20
 1960  749   21
 1961  820   22
 1962  822   23
 1963  866   23
 1964  904   22
 1965  952   25
 1966  989   25
 1967 1084   21
 1968 1228   17
 1969 1352   20
 1970 1486   17
 1971 1681   12
 1972 1954   12
 1973 2330   12
 1974 2274   13
 1975 2089   14
 1976 1950   12
 1977 1870   11
 1978 1754   10
 1979 1584    9
 1980 1641    5
 1981 2088    5
 1982 2581    5
 1983 2404    4
 1984 2235    4
 1985 2154    2
 1986 2159    2
 1987 2172    1
 1988 1937    1
 1989 1648    1
 1990 1300    1
 1991 1156    1
 1992 1066    1
 1993 1105    0
 1994 1428    0
 1995 1756    0
 1996 2057    0
 1997 2447    0
 1998 2391    0
 1999 2240    0
 2000 2265    0
 2001 2147    0
 2002 2015    0
 2003 1860    0
 2004 1640    0
 2005 1380    0
 2006 1259    0
 2007 1356    0
 2008 1783    0
 2009 2198    0
 2010 2123    0
 2011 1944    0
 2012 1836    0
 2013 1869    0
 2014 1888    0
 2015 1706    0
 2016 1816    0
 2017 2370    0
 2018 2278    0
