Year   Moose  Wolves
 1959  728   20
 1960  722   20
 1961  764   20
 1962  751   22
 1963  767   24
 1964  780   25
 1965  857   24
 1966  944   19
 1967 1030   19
 1968 1147   19
 1969 1252   25
 1970 1406   26
 1971 1613   32
 1972 1801   30
 1973 2014   28
 1974 2296   25
 1975 2222   26
 1976 1974   28
 1977 1838   28
 1978 1628   27
 1979 1371   27
 1980 1071   22
 1981  911   17
 1982 1001   11
 1983 1193   11
 1984 1354   10
 1985 1604    8
 1986 1797    7
 1987 2051    9
 1988 2397    7
 1989 2385    6
 1990 2184    7
 1991 2041    7
 1992 1890    7
 1993 1738    8
 1994 1633    8
 1995 1376    9
 1996 1416    8
 1997 1771    8
 1998 2156    8
 1999 2033    6
 2000 1859    6
 2001 1785    6
 2002 1758    6
 2003 1745    6
 2004 1797    7
 2005 2267    8
 2006 2014    7
 2007 1757    7
 2008 1669    9
 2009 1601    9
 2010 1571   12
 2011 1596   14
 2012 1967   13
 2013 2351   11
 2014 2085   13
 2015 1873   10
 2016 1794   10
 2017 1753   11
 2018 1713   10
