Year   Moose  Wolves
 1959  625   20
 1960  666   23
 1961  642   21
 1962  692   25
 1963  669   26
 1964  702   24
 1965  766   25
 1966  747   24
 1967  813   27
 1968  781   26
 1969  871   20
 1970  921   21
 1971 1010   18
 1972 1126   13
 1973 1304   13
 1974 1487    9
 1975 1763    7
 1976 2066    7
 1977 2465    6
 1978 2481    5
 1979 2320    5
 1980 2238    4
 1981 2118    3
 1982 1977    2
 1983 1822    2
 1984 1575    2
 1985 1264    1
 1986 1133    1
 1987 1199    1
 1988 1576    1
 1989 1969    0
 1990 2349    0
 1991 2289    0
 1992 2134    0
 1993 2088    0
 1994 2166    0
 1995 2026    0
 1996 1815    0
 1997 1615    0
 1998 1366    0
 1999 1254    0
 2000 1342    0
 2001 1772    0
 2002 2173    0
 2003 2111    0
 2004 1918    0
 2005 1860    0
 2006 1848    0
 2007 1861    0
 2008 1706    0
 2009 1836    0
 2010 2390    0
 2011 2330    0
 2012 2095    0
 2013 1980    0
 2014 1975    0
 2015 1919    0
 2016 1896    0
 2017 2015    0
 2018 2669    0
