Year   Moose  Wolves
 1959  766   20
 1960  822   19
 1961  879   21
 1962  943   26
 1963  982   26
 1964 1027   29
 1965 1037   30
 1966 1090   33
 1967 1069   36
 1968 1108   37
 1969 1124   36
 1970 1224   35
 1971 1280   30
 1972 1429   28
 1973 1598   26
 1974 1778   22
 1975 2024   19
 1976 2311   14
 1977 2269   15
 1978 2053   14
 1979 1948   16
 1980 1780   15
 1981 1603   14
 1982 1392   23
 1983 1271   21
 1984 1552   20
 1985 1780   21
 1986 2065   26
 1987 2272   28
 1988 2062   30
 1989 1874   27
 1990 1809   25
 1991 1566   23
 1992 1314   21
 1993 1192   25
 1994 1422   24
 1995 1556   21
 1996 1760   21
 1997 1994   20
 1998 2240   21
 1999 2183   22
 2000 2051   20
 2001 1897   20
 2002 1695   21
 2003 1494   20
 2004 1297   20
 2005 1221   17
 2006 1550   17
 2007 1883   16
 2008 2169   17
 2009 2029   17
 2010 1843   16
 2011 1776   15
 2012 1757   14
 2013 1576   12
 2014 1604   12
 2015 1994   14
 2016 2365   13
 2017 2078   11
 2018 1870    9
