Year   Moose  Wolves
 1959  626   20
 1960  680   20
 1961  672   21
 1962  656   21
 1963  684   21
 1964  683   22
 1965  664   19
 1966  665   16
 1967  700   13
 1968  769   11
 1969  862    9
 1970 1002    9
 1971 1113    6
 1972 1296    5
 1973 1537    2
 1974 1837    2
 1975 2167    2
 1976 2204    2
 1977 2046    2
 1978 1999    2
 1979 1959    2
 1980 1840    2
 1981 1704    1
 1982 1805    1
 1983 2357    1
 1984 2237    1
 1985 2003    1
 1986 1927    0
 1987 1893    0
 1988 1891    0
 1989 1914    0
 1990 2014    0
 1991 2684    0
 1992 2570    0
 1993 2311    0
 1994 2208    0
 1995 2222    0
 1996 2213    0
 1997 2236    0
 1998 1926    0
 1999 1533    0
 2000 1348    0
 2001 1266    0
 2002 1175    0
 2003 1261    0
 2004 1640    0
 2005 2010    0
 2006 2352    0
 2007 2305    0
 2008 2146    0
 2009 2123    0
 2010 2134    0
 2011 2013    0
 2012 1800    0
 2013 1607    0
 2014 1326    0
 2015 1184    0
 2016 1253    0
 2017 1606    0
 2018 1984    0
