Year   Moose  Wolves
 1959  705   20
 1960  782   19
 1961  826   20
 1962  887   22
 1963  881   25
 1964  975   26
 1965 1044   28
 1966 1148   26
 1967 1236   28
 1968 1343   27
 1969 1493   25
 1970 1675   27
 1971 1835   26
 1972 2079   28
 1973 2421   27
 1974 2316   26
 1975 2090   22
 1976 1925   17
 1977 1741   16
 1978 1529   15
 1979 1283   13
 1980 1263   12
 1981 1586   12
 1982 1971   10
 1983 2247    9
 1984 2076    8
 1985 1919    8
 1986 1890    6
 1987 1895    6
 1988 1701    6
 1989 1766    6
 1990 2234    5
 1991 2025    3
 1992 1809    3
 1993 1736    2
 1994 1706    1
 1995 1743    0
 1996 1849    0
 1997 2426    0
 1998 2203    0
 1999 1982    0
 2000 1918    0
 2001 1938    0
 2002 1956    0
 2003 1959    0
 2004 2074    0
 2005 2708    0
 2006 2494    0
 2007 2270    0
 2008 2148    0
 2009 2119    0
 2010 2107    0
 2011 2117    0
 2012 1826    0
 2013 1409    0
 2014 1275    0
 2015 1198    0
 2016 1103    0
 2017 1169    0
 2018 1517    0
