Year   Moose  Wolves
 1959  630   20
 1960  673   19
 1961  699   18
 1962  790   20
 1963  876   23
 1964  951   23
 1965 1047   18
 1966 1143   19
 1967 1236   20
 1968 1351   12
 1969 1559   10
 1970 1810   10
 1971 2187    9
 1972 2174    8
 1973 1988    7
 1974 1911    6
 1975 1828    6
 1976 1743    6
 1977 1561    5
 1978 1645    6
 1979 2160    6
 1980 1976    4
 1981 1801    4
 1982 1706    3
 1983 1661    3
 1984 1635    3
 1985 1715    2
 1986 2263    2
 1987 2023    2
 1988 1785    2
 1989 1724    1
 1990 1720    0
 1991 1750    0
 1992 1852    0
 1993 2417    0
 1994 2173    0
 1995 1967    0
 1996 1890    0
 1997 1894    0
 1998 1911    0
 1999 1874    0
 2000 1998    0
 2001 2593    0
 2002 2402    0
 2003 2164    0
 2004 2041    0
 2005 2022    0
 2006 2005    0
 2007 1992    0
 2008 1753    0
 2009 1804    0
 2010 2332    0
 2011 2250    0
 2012 1986    0
 2013 1894    0
 2014 1902    0
 2015 1885    0
 2016 1883    0
 2017 2021    0
 2018 2623    0
