Year   Moose  Wolves
 1959  691   20
 1960  689   21
 1961  706   21
 1962  713   21
 1963  752   22
 1964  814   22
 1965  887   22
 1966  935   23
 1967  993   19
 1968 1107   17
 1969 1309   15
 1970 1545   16
 1971 1818   16
 1972 2118   16
 1973 2125   15
 1974 1961   13
 1975 1840   12
 1976 1736   10
 1977 1634   10
 1978 1432    8
 1979 1435    8
 1980 1805    8
 1981 2165    6
 1982 1965    7
 1983 1787    4
 1984 1714    2
 1985 1711    2
 1986 1744    2
 1987 1848    3
 1988 2395    4
 1989 2151    4
 1990 1931    4
 1991 1864    3
 1992 1815    3
 1993 1789    2
 1994 1795    2
 1995 1883    2
 1996 2412    2
 1997 2230    2
 1998 1992    1
 1999 1894    1
 2000 1900    1
 2001 1871    1
 2002 1881    1
 2003 1970    1
 2004 2549    0
 2005 2315    0
 2006 2073    0
 2007 2002    0
 2008 2002    0
 2009 2002    0
 2010 2010    0
 2011 2154    0
 2012 2068    0
 2013 1861    0
 2014 1775    0
 2015 1677    0
 2016 1630    0
 2017 1735    0
 2018 2265    0
