Year   Moose  Wolves
 1959  653   20
 1960  661   22
 1961  659   25
 1962  697   25
 1963  692   26
 1964  662   23
 1965  696   21
 1966  783   23
 1967  836   22
 1968  896   19
 1969  987   22
 1970 1129   26
 1971 1247   27
 1972 1409   25
 1973 1533   22
 1974 1708   20
 1975 1904   22
 1976 2205   23
 1977 2037   25
 1978 1775   28
 1979 1645   32
 1980 1408   29
 1981 1160   27
 1982  941   23
 1983 1144   22
 1984 1324   23
 1985 1522   23
 1986 1691   19
 1987 1928   18
 1988 2103   17
 1989 2077    7
 1990 1904    8
 1991 1748    8
 1992 1584    8
 1993 1417    8
 1994 1440   10
 1995 1810   10
 1996 2182    8
 1997 1977    7
 1998 1770    8
 1999 1757    8
 2000 1772    8
 2001 1770    6
 2002 1832    5
 2003 2352    6
 2004 2144    6
 2005 1909    3
 2006 1827    5
 2007 1812    5
 2008 1824    5
 2009 1800    4
 2010 1883    4
 2011 2421    4
 2012 2201    4
 2013 1976    4
 2014 1876    4
 2015 1822    4
 2016 1794    3
 2017 1788    2
 2018 1898    1
