Year   Moose  Wolves
 1959  622   20
 1960  679   22
 1961  721   22
 1962  766   20
 1963  811   20
 1964  855   21
 1965  929   27
 1966  996   24
 1967  996   24
 1968 1030   23
 1969 1066   22
 1970 1146   19
 1971 1299   18
 1972 1428   17
 1973 1649   18
 1974 1890   18
 1975 2227   16
 1976 2166   13
 1977 1982    9
 1978 1886    8
 1979 1751    8
 1980 1598    6
 1981 1456    5
 1982 1500    5
 1983 1865    7
 1984 2230    7
 1985 2046    4
 1986 1870    3
 1987 1810    3
 1988 1843    3
 1989 1846    3
 1990 1947    3
 1991 2482    3
 1992 2272    1
 1993 2003    1
 1994 1930    1
 1995 1953    1
 1996 1923    0
 1997 1912    0
 1998 2028    0
 1999 2658    0
 2000 2528    0
 2001 2270    0
 2002 2168    0
 2003 2180    0
 2004 2193    0
 2005 2184    0
 2006 1875    0
 2007 1447    0
 2008 1291    0
 2009 1230    0
 2010 1131    0
 2011 1204    0
 2012 1553    0
 2013 1931    0
 2014 2305    0
 2015 2208    0
 2016 2061    0
 2017 2015    0
 2018 2062    0
