Year   Moose  Wolves
 1959  697   20
 1960  776   22
 1961  811   24
 1962  862   27
 1963  866   26
 1964  876   27
 1965  917   23
 1966  994   20
 1967 1099   21
 1968 1163   21
 1969 1349   22
 1970 1497   21
 1971 1675   19
 1972 1887   20
 1973 2244   18
 1974 2207   19
 1975 1956   17
 1976 1878   17
 1977 1695   16
 1978 1558   14
 1979 1408   16
 1980 1351   16
 1981 1673   17
 1982 1974   15
 1983 2284    9
 1984 2135    9
 1985 1976    9
 1986 1910    9
 1987 1940    9
 1988 1796    9
 1989 1588    7
 1990 1631    6
 1991 2109    8
 1992 1972    9
 1993 1735    8
 1994 1633    6
 1995 1578    6
 1996 1527    6
 1997 1591    5
 1998 2105    5
 1999 1920    5
 2000 1661    4
 2001 1620    3
 2002 1609    3
 2003 1611    1
 2004 1736    1
 2005 2245    1
 2006 2018    1
 2007 1806    1
 2008 1777    1
 2009 1739    1
 2010 1753    1
 2011 1882    1
 2012 2437    1
 2013 2229    0
 2014 1988    0
 2015 1892    0
 2016 1897    0
 2017 1880    0
 2018 1885    0
