Year   Moose  Wolves
 1959  634   20
 1960  681   20
 1961  701   20
 1962  769   19
 1963  837   17
 1964  946   14
 1965 1031   11
 1966 1177   10
 1967 1333    7
 1968 1533    7
 1969 1795    3
 1970 2149    0
 1971 2111    0
 1972 1971    0
 1973 1854    0
 1974 1823    0
 1975 1735    0
 1976 1608    0
 1977 1729    0
 1978 2244    0
 1979 2146    0
 1980 1954    0
 1981 1862    0
 1982 1845    0
 1983 1816    0
 1984 1802    0
 1985 1902    0
 1986 2479    0
 1987 2284    0
 1988 2074    0
 1989 2015    0
 1990 2045    0
 1991 2065    0
 1992 2043    0
 1993 2164    0
 1994 2028    0
 1995 1825    0
 1996 1689    0
 1997 1635    0
 1998 1574    0
 1999 1693    0
 2000 2228    0
 2001 2023    0
 2002 1811    0
 2003 1758    0
 2004 1770    0
 2005 1782    0
 2006 1922    0
 2007 2546    0
 2008 2360    0
 2009 2169    0
 2010 2139    0
 2011 2148    0
 2012 2143    0
 2013 2159    0
 2014 1887    0
 2015 1408    0
 2016 1250    0
 2017 1167    0
 2018 1071    0
