Year   Moose  Wolves
 1959  704   20
 1960  722   23
 1961  755   24
 1962  836   26
 1963  908   29
 1964  915   33
 1965 1002   32
 1966 1006   35
 1967 1017   33
 1968 1020   31
 1969 1096   30
 1970 1133   32
 1971 1233   34
 1972 1330   34
 1973 1428   31
 1974 1563   26
 1975 1715   26
 1976 1958   24
 1977 2214   24
 1978 2157   24
 1979 1934   29
 1980 1804   31
 1981 1629   27
 1982 1412   23
 1983 1183   21
 1984 1072   24
 1985 1270   27
 1986 1330   30
 1987 1399   34
 1988 1530   39
 1989 1660   48
 1990 1779   49
 1991 1899   44
 1992 1971   42
 1993 2045   39
 1994 2351   39
 1995 2178   38
 1996 1871   42
 1997 1690   38
 1998 1451   33
 1999 1193   31
 2000  885   21
 2001  809   17
 2002  875   15
 2003 1014   13
 2004 1136   11
 2005 1270    8
 2006 1445    4
 2007 1674    3
 2008 1974    2
 2009 2386    2
 2010 2356    1
 2011 2167    1
 2012 2078    1
 2013 2008    1
 2014 1922    1
 2015 1755    1
 2016 1508    1
 2017 1585    1
 2018 2139    0
