Year   Moose  Wolves
 1959  546   20
 1960  634   21
 1961  670   23
 1962  704   28
 1963  761   31
 1964  827   35
 1965  844   34
 1966  923   31
 1967  970   32
 1968 1020   33
 1969 1150   29
 1970 1243   25
 1971 1426   21
 1972 1662   26
 1973 1906   24
 1974 2201   23
 1975 2064   21
 1976 1870   17
 1977 1778   15
 1978 1719   14
 1979 1579   16
 1980 1605   14
 1981 2038   14
 1982 2533   16
 1983 2406   15
 1984 2168   12
 1985 2082   10
 1986 2073    9
 1987 2077    8
 1988 1901    8
 1989 1626    8
 1990 1687    6
 1991 2202    5
 1992 2199    5
 1993 2000    2
 1994 1911    3
 1995 1870    4
 1996 1870    6
 1997 1844    5
 1998 1970    5
 1999 2585    6
 2000 2476    5
 2001 2224    5
 2002 2140    5
 2003 2122    5
 2004 2122    6
 2005 2140    4
 2006 1897    4
 2007 1496    3
 2008 1308    3
 2009 1213    2
 2010 1133    1
 2011 1199    1
 2012 1557    1
 2013 1937    1
 2014 2303    1
 2015 2250    0
 2016 2130    0
 2017 2112    0
 2018 2170    0
