Year   Moose  Wolves
 1959  599   20
 1960  656   20
 1961  716   20
 1962  786   24
 1963  864   26
 1964  940   31
 1965 1017   29
 1966 1093   26
 1967 1266   26
 1968 1410   28
 1969 1639   30
 1970 1833   31
 1971 2105   35
 1972 2049   35
 1973 1886   34
 1974 1795   40
 1975 1548   39
 1976 1359   34
 1977 1291   33
 1978 1329   34
 1979 1492   33
 1980 1687   32
 1981 1882   34
 1982 2092   31
 1983 2304   34
 1984 2235   34
 1985 1976   33
 1986 1757   32
 1987 1577   30
 1988 1359   30
 1989 1190   27
 1990 1159   26
 1991 1429   25
 1992 1671   24
 1993 1898   20
 1994 2194   20
 1995 2045   16
 1996 1887   14
 1997 1865    9
 1998 1775    9
 1999 1648    7
 2000 1706    6
 2001 2245    5
 2002 2134    6
 2003 1943    6
 2004 1855    6
 2005 1841    5
 2006 1812    4
 2007 1839    4
 2008 1948    4
 2009 2564    4
 2010 2440    2
 2011 2233    2
 2012 2158    3
 2013 2169    1
 2014 2190    1
 2015 2189    1
 2016 1964    1
 2017 1596    1
 2018 1431    1
