Year   Moose  Wolves
 1959  594   20
 1960  650   20
 1961  630   19
 1962  629   18
 1963  715   20
 1964  766   22
 1965  806   21
 1966  835   18
 1967  882   16
 1968  953   17
 1969 1087   15
 1970 1211   10
 1971 1429    9
 1972 1645   12
 1973 1903   12
 1974 2208   11
 1975 2210   11
 1976 2021   12
 1977 1923   13
 1978 1766   13
 1979 1608   13
 1980 1418   18
 1981 1405   19
 1982 1695   19
 1983 2026   21
 1984 2334   19
 1985 2139   16
 1986 1950   16
 1987 1856   17
 1988 1749   21
 1989 1531   19
 1990 1200   21
 1991 1140   21
 1992 1261   20
 1993 1438   20
 1994 1549   15
 1995 1750   21
 1996 1939   22
 1997 2153   23
 1998 2057   22
 1999 1834   18
 2000 1667   15
 2001 1455   15
 2002 1292   17
 2003 1242   17
 2004 1427   16
 2005 1706   16
 2006 1962   14
 2007 2281   12
 2008 2145    9
 2009 2027   10
 2010 2018    9
 2011 1899    9
 2012 1711    9
 2013 1512   11
 2014 1530   10
 2015 1901    7
 2016 2318    9
 2017 2134    8
 2018 1895    8
