Year   Moose  Wolves
 1959  608   20
 1960  619   20
 1961  598   20
 1962  627   22
 1963  652   23
 1964  648   19
 1965  693   17
 1966  760   16
 1967  797   13
 1968  906   10
 1969 1050    9
 1970 1193    8
 1971 1417    6
 1972 1657    6
 1973 1975    6
 1974 2393    6
 1975 2460    5
 1976 2293    5
 1977 2167    3
 1978 2073    2
 1979 1938    2
 1980 1757    2
 1981 1554    2
 1982 1227    2
 1983 1279    1
 1984 1656    1
 1985 2030    0
 1986 2356    0
 1987 2259    0
 1988 2100    0
 1989 2035    0
 1990 2077    0
 1991 1963    0
 1992 1756    0
 1993 1865    0
 1994 2445    0
 1995 2329    0
 1996 2106    0
 1997 2002    0
 1998 1969    0
 1999 1939    0
 2000 1919    0
 2001 1637    0
 2002 1728    0
 2003 2251    0
 2004 2223    0
 2005 1965    0
 2006 1838    0
 2007 1833    0
 2008 1789    0
 2009 1800    0
 2010 1910    0
 2011 2498    0
 2012 2365    0
 2013 2165    0
 2014 2081    0
 2015 2072    0
 2016 2094    0
 2017 2094    0
 2018 1819    0
