Year   Moose  Wolves
 1959  677   20
 1960  674   26
 1961  630   27
 1962  585   29
 1963  555   26
 1964  520   25
 1965  501   25
 1966  514   25
 1967  504   24
 1968  449   21
 1969  437   19
 1970  408   14
 1971  421   14
 1972  412   14
 1973  385   13
 1974  377   10
 1975  385   11
 1976  422   12
 1977  420   13
 1978  446   12
 1979  457   12
 1980  478   14
 1981  508   13
 1982  564    8
 1983  609    9
 1984  655    8
 1985  796    8
 1986  910    6
 1987 1067    5
 1988 1210    5
 1989 1443    3
 1990 1776    2
 1991 2141    1
 1992 2216    1
 1993 2082    1
 1994 2042    0
 1995 2003    0
 1996 1927    0
 1997 1766    0
 1998 1884    0
 1999 2482    0
 2000 2412    0
 2001 2223    0
 2002 2122    0
 2003 2067    0
 2004 2083    0
 2005 2077    0
 2006 1816    0
 2007 1447    0
 2008 1502    0
 2009 1965    0
 2010 2417    0
 2011 2263    0
 2012 2036    0
 2013 1931    0
 2014 1897    0
 2015 1927    0
 2016 1729    0
 2017 1844    0
 2018 2395    0
