Year   Moose  Wolves
 1959  544   20
 1960  522   18
 1961  510   18
 1962  536   17
 1963  545   15
 1964  548   16
 1965  544   16
 1966  551   19
 1967  561   19
 1968  553   16
 1969  586   14
 1970  619   11
 1971  677   13
 1972  708   14
 1973  758   14
 1974  795   14
 1975  830   11
 1976  884    8
 1977 1054   10
 1978 1184   12
 1979 1331    9
 1980 1525    9
 1981 1808    8
 1982 2128    5
 1983 2150    5
 1984 2013    4
 1985 1957    4
 1986 1879    4
 1987 1742    3
 1988 1577    1
 1989 1653    1
 1990 2144    0
 1991 2040    0
 1992 1833    0
 1993 1733    0
 1994 1708    0
 1995 1677    0
 1996 1801    0
 1997 2397    0
 1998 2238    0
 1999 2023    0
 2000 1957    0
 2001 1937    0
 2002 1936    0
 2003 1932    0
 2004 2046    0
 2005 2668    0
 2006 2451    0
 2007 2192    0
 2008 2095    0
 2009 2085    0
 2010 2090    0
 2011 2059    0
 2012 1771    0
 2013 1876    0
 2014 2425    0
 2015 2409    0
 2016 2190    0
 2017 2058    0
 2018 2067    0
