Year   Moose  Wolves
 1959  563   20
 1960  664   22
 1961  695   22
 1962  746   22
 1963  799   25
 1964  910   30
 1965 1022   32
 1966 1117   31
 1967 1275   30
 1968 1447   32
 1969 1625   32
 1970 1855   33
 1971 2133   34
 1972 2134   34
 1973 1959   37
 1974 1841   42
 1975 1581   41
 1976 1301   34
 1977  982   29
 1978  765   29
 1979  826   24
 1980  958   21
 1981 1116   21
 1982 1280   20
 1983 1389   20
 1984 1558   19
 1985 1808   19
 1986 2178   18
 1987 2168   19
 1988 1945   17
 1989 1837   16
 1990 1745   15
 1991 1640   18
 1992 1513   17
 1993 1521   13
 1994 1933   12
 1995 2369   10
 1996 2224    5
 1997 2052    5
 1998 1957    5
 1999 1974    3
 2000 2016    2
 2001 1885    2
 2002 2022    0
 2003 2646    0
 2004 2510    0
 2005 2262    0
 2006 2171    0
 2007 2171    0
 2008 2175    0
 2009 2204    0
 2010 1994    0
 2011 1609    0
 2012 1445    0
 2013 1328    0
 2014 1244    0
 2015 1333    0
 2016 1700    0
 2017 2079    0
 2018 2494    0
