Year   Moose  Wolves
 1959  734   20
 1960  830   23
 1961  951   24
 1962 1005   23
 1963 1111   26
 1964 1211   29
 1965 1389   30
 1966 1547   27
 1967 1777   23
 1968 2056   21
 1969 2378   22
 1970 2330   17
 1971 2148   16
 1972 2081   14
 1973 2035   13
 1974 1938   10
 1975 1759    9
 1976 1568    6
 1977 1656    6
 1978 2181    7
 1979 2178    7
 1980 1946    6
 1981 1834    4
 1982 1816    4
 1983 1792    5
 1984 1819    4
 1985 1914    4
 1986 2519    2
 1987 2405    2
 1988 2182    2
 1989 2096    2
 1990 2102    2
 1991 2125    2
 1992 2165    1
 1993 1929    1
 1994 1540    1
 1995 1358    0
 1996 1272    0
 1997 1211    0
 1998 1291    0
 1999 1658    0
 2000 2046    0
 2001 2433    0
 2002 2368    0
 2003 2219    0
 2004 2194    0
 2005 2236    0
 2006 2144    0
 2007 1965    0
 2008 1757    0
 2009 1495    0
 2010 1345    0
 2011 1244    0
 2012 1326    0
 2013 1732    0
 2014 2150    0
 2015 2086    0
 2016 1907    0
 2017 1842    0
 2018 1849    0
