Year   Moose  Wolves
 1959  613   20
 1960  626   17
 1961  646   16
 1962  657   16
 1963  734   18
 1964  809   20
 1965  874   25
 1966  932   29
 1967 1024   30
 1968 1067   29
 1969 1132   28
 1970 1237   33
 1971 1351   39
 1972 1408   35
 1973 1578   32
 1974 1661   31
 1975 1937   30
 1976 2184   26
 1977 2091   21
 1978 1869   23
 1979 1737   23
 1980 1530   21
 1981 1333   19
 1982 1236   18
 1983 1482   18
 1984 1752   21
 1985 1985   24
 1986 2216   25
 1987 2112   30
 1988 1922   27
 1989 1867   34
 1990 1572   27
 1991 1206   24
 1992  972   22
 1993  774   18
 1994  794   21
 1995  889   19
 1996  992   24
 1997 1078   23
 1998 1127   23
 1999 1277   25
 2000 1312   22
 2001 1447   22
 2002 1609   24
 2003 1819   31
 2004 2071   37
 2005 2344   40
 2006 2169   40
 2007 1933   44
 2008 1725   48
 2009 1508   46
 2010 1179   43
 2011  859   38
 2012  499   37
 2013  229   34
 2014   95   30
 2015   35   23
 2016    7   16
 2017    7   14
 2018    0   12
