Year   Moose  Wolves
 1959  606   20
 1960  659   20
 1961  740   20
 1962  823   21
 1963  934   23
 1964 1012   26
 1965 1100   31
 1966 1245   34
 1967 1391   32
 1968 1563   35
 1969 1775   41
 1970 2019   42
 1971 2341   42
 1972 2276   46
 1973 2040   47
 1974 1859   50
 1975 1590   47
 1976 1264   41
 1977  878   37
 1978  707   35
 1979  572   33
 1980  607   32
 1981  634   38
 1982  688   38
 1983  728   34
 1984  717   32
 1985  787   29
 1986  894   33
 1987  890   33
 1988  976   33
 1989 1111   33
 1990 1225   32
 1991 1409   33
 1992 1617   37
 1993 1891   31
 1994 2173   27
 1995 2157   30
 1996 1958   35
 1997 1894   31
 1998 1694   34
 1999 1441   32
 2000 1210   32
 2001 1106   28
 2002 1228   26
 2003 1464   32
 2004 1678   31
 2005 1912   35
 2006 2146   32
 2007 2112   40
 2008 1921   44
 2009 1773   49
 2010 1412   48
 2011 1110   49
 2012  836   49
 2013  641   45
 2014  447   40
 2015  396   35
 2016  311   26
 2017  278   23
 2018  261   15
