Year   Moose  Wolves
 1959  752   20
 1960  781   18
 1961  803   19
 1962  813   21
 1963  853   22
 1964  905   21
 1965  975   28
 1966 1047   25
 1967 1135   22
 1968 1226   23
 1969 1376   27
 1970 1569   28
 1971 1750   28
 1972 1882   26
 1973 2097   25
 1974 2395   25
 1975 2370   27
 1976 2091   30
 1977 1895   32
 1978 1660   32
 1979 1425   28
 1980 1208   26
 1981 1060   22
 1982 1104   24
 1983 1252   31
 1984 1363   35
 1985 1350   37
 1986 1361   39
 1987 1437   39
 1988 1568   36
 1989 1597   32
 1990 1730   31
 1991 1848   37
 1992 2010   37
 1993 2267   38
 1994 2168   42
 1995 1858   50
 1996 1666   52
 1997 1403   50
 1998 1050   40
 1999  692   39
 2000  540   37
 2001  288   34
 2002  210   31
 2003  174   25
 2004  128   19
 2005   87   16
 2006   57   11
 2007   45    8
 2008   60    6
 2009   43    4
 2010   26    4
 2011   20    2
 2012   17    2
 2013   15    1
 2014   13    1
 2015    7    1
 2016    5    1
 2017    6    1
 2018    3    0
