Year   Moose  Wolves
 1959  666   20
 1960  725   24
 1961  706   26
 1962  734   33
 1963  715   41
 1964  676   38
 1965  686   38
 1966  601   37
 1967  508   36
 1968  379   31
 1969  316   25
 1970  282   26
 1971  206   23
 1972  174   21
 1973  110   18
 1974   85   10
 1975   53    4
 1976   33    2
 1977   46    2
 1978   50    1
 1979   57    0
 1980   75    0
 1981   88    0
 1982  100    0
 1983  116    0
 1984  149    0
 1985  168    0
 1986  202    0
 1987  238    0
 1988  278    0
 1989  333    0
 1990  405    0
 1991  481    0
 1992  565    0
 1993  679    0
 1994  819    0
 1995  997    0
 1996 1203    0
 1997 1438    0
 1998 1722    0
 1999 2097    0
 2000 2534    0
 2001 2579    0
 2002 2462    0
 2003 2398    0
 2004 2380    0
 2005 2308    0
 2006 2154    0
 2007 1896    0
 2008 1556    0
 2009 1399    0
 2010 1291    0
 2011 1188    0
 2012 1249    0
 2013 1598    0
 2014 2000    0
 2015 2366    0
 2016 2270    0
 2017 2130    0
 2018 2115    0
